harmonic_order,center,FWHM,amplitude,R_squared,Reduced_chi2
3,954.8392603620314,0,2987338.199652551,0.8969775362861796,27574344.631147955
4,730.0761619493386,0,1426355.0781324208,0.9619416799271743,3748255.5849857833
5,580.3317467076931,0,324436.06334839173,0.908177493945373,636402.8027564615
7,484.0588000787216,0,34995.77775609842,0.4811824322571947,91337.91703636643
8,404.0035703826866,0,55185.759115558976,0.4406422061601094,73782.05786328253
